Hostname,Total
P2K8CAVA007.AD.ADELAIDE.EDU.AU,0,0
MUDMAN.AD.ADELAIDE.EDU.AU,0,0
PANAMERA.AD.ADELAIDE.EDU.AU,0,0
FATBOY.AD.ADELAIDE.EDU.AU,0,0
SCIEES044.AD.ADELAIDE.EDU.AU,0,0
DL3ABH8P-VM.AD.ADELAIDE.EDU.AU,0,0
D84001771_VMOSX.AD.ADELAIDE.EDU.AU,0,0
SDGWEB01.AD.ADELAIDE.EDU.AU,0,0
DL3A9795.AD.ADELAIDE.EDU.AU,0,0
LL3A1177.AD.ADELAIDE.EDU.AU,0,0
GST016-VM.AD.ADELAIDE.EDU.AU,0,0
DL3A9397.AD.ADELAIDE.EDU.AU,0,0
GST015-VM.AD.ADELAIDE.EDU.AU,0,0
SUNION005.AD.ADELAIDE.EDU.AU,0,0
ADELAIDEUNIQM.AD.ADELAIDE.EDU.AU,0,0
RAPTOR.AD.ADELAIDE.EDU.AU,0,0
HURRICANE.AD.ADELAIDE.EDU.AU,0,0
EASTER.AD.ADELAIDE.EDU.AU,0,0
LW80316G7ATN.AD.ADELAIDE.EDU.AU,0,0
P2K3WEB031.AD.ADELAIDE.EDU.AU,0,0
D90900202_OSXVM.AD.ADELAIDE.EDU.AU,0,0
D91402648_VM.AD.ADELAIDE.EDU.AU,0,0
LW80316G7ATN-VM.AD.ADELAIDE.EDU.AU,0,0
LEES_IMAC.AD.ADELAIDE.EDU.AU,0,0
SEQUENCER1.AD.ADELAIDE.EDU.AU,0,0
P2K3APP6450008.AD.ADELAIDE.EDU.AU,0,0
D90900202OSX.AD.ADELAIDE.EDU.AU,0,0
RX5.AD.ADELAIDE.EDU.AU,0,0
P2K3APP6450009.AD.ADELAIDE.EDU.AU,0,0
DL3A5044.AD.ADELAIDE.EDU.AU,0,0
GECKO.AD.ADELAIDE.EDU.AU,0,0
ZZSCIRCSXXX.AD.ADELAIDE.EDU.AU,0,0
P2K3APP6450010.AD.ADELAIDE.EDU.AU,0,0
VDI1ECS01.AD.ADELAIDE.EDU.AU,0,0
HUXLEYCORE.AD.ADELAIDE.EDU.AU,0,0
COLLABXXX.AD.ADELAIDE.EDU.AU,0,0
DAUD84704YN.AD.ADELAIDE.EDU.AU,0,0
NEXTBYTETEST.AD.ADELAIDE.EDU.AU,0,0
PRINT01N1.AD.ADELAIDE.EDU.AU,0,0
PRINT02N1.AD.ADELAIDE.EDU.AU,0,0
PRINT04N1.AD.ADELAIDE.EDU.AU,0,0
PRINT05N1.AD.ADELAIDE.EDU.AU,0,0
PRINT06N1.AD.ADELAIDE.EDU.AU,0,0
P2K3APP018.AD.ADELAIDE.EDU.AU,0,0
DSSLAPTOP.AD.ADELAIDE.EDU.AU,0,0
UNIPRINTWAITE.AD.ADELAIDE.EDU.AU,0,0
D90701420_OSVM.AD.ADELAIDE.EDU.AU,0,0
P2K3SQLC01N2.AD.ADELAIDE.EDU.AU,0,0
PRINT03N1.AD.ADELAIDE.EDU.AU,0,0
BON-PC.AD.ADELAIDE.EDU.AU,0,0
P2K3APP6450011.AD.ADELAIDE.EDU.AU,0,0
LW8010A9D66D.AD.ADELAIDE.EDU.AU,0,0
MONZA.AD.ADELAIDE.EDU.AU,0,0
MONARO.AD.ADELAIDE.EDU.AU,0,0
ICHIGO.AD.ADELAIDE.EDU.AU,0,0
CHEM030.AD.ADELAIDE.EDU.AU,0,0
D99BRT41.AD.ADELAIDE.EDU.AU,0,0
CS_MACXXX.AD.ADELAIDE.EDU.AU,0,0
WAITEUNIPRINT.AD.ADELAIDE.EDU.AU,0,0
STRINGYBARK.AD.ADELAIDE.EDU.AU,0,0
ITSDMS020VMSTD.AD.ADELAIDE.EDU.AU,0,0
TINGLE.AD.ADELAIDE.EDU.AU,0,0
DVM6642853A.AD.ADELAIDE.EDU.AU,0,0
MROBINSONWIN7.AD.ADELAIDE.EDU.AU,0,0
VADMIN01-JY.AD.ADELAIDE.EDU.AU,0,0
CARTMAN.AD.ADELAIDE.EDU.AU,0,0
SEQUENCERVM1.AD.ADELAIDE.EDU.AU,0,0
DR9EVZ98.AD.ADELAIDE.EDU.AU,0,0
DL3A7000.AD.ADELAIDE.EDU.AU,0,0
TESTBED-NEW.AD.ADELAIDE.EDU.AU,0,0
LL3P1062.AD.ADELAIDE.EDU.AU,0,0
MUFFINMAN.AD.ADELAIDE.EDU.AU,0,0
L11300812.AD.ADELAIDE.EDU.AU,0,0
L99RA574.AD.ADELAIDE.EDU.AU,0,0
OPSMANAGERCM01.AD.ADELAIDE.EDU.AU,0,0
D91300383_VM.AD.ADELAIDE.EDU.AU,0,0
ROGG.AD.ADELAIDE.EDU.AU,0,0
OCEPRD1.AD.ADELAIDE.EDU.AU,0,0
MCBAIN.AD.ADELAIDE.EDU.AU,0,0
LRFANPG.AD.ADELAIDE.EDU.AU,0,0
BEIRA.AD.ADELAIDE.EDU.AU,0,0
SAGARIS-VM.AD.ADELAIDE.EDU.AU,0,0
L91200797.AD.ADELAIDE.EDU.AU,0,0
PRINT06N2.AD.ADELAIDE.EDU.AU,0,0
SNOWGUM.AD.ADELAIDE.EDU.AU,0,0
PULTNETAPP02V.AD.ADELAIDE.EDU.AU,0,0
PRINT02.AD.ADELAIDE.EDU.AU,0,0
D03300795.AD.ADELAIDE.EDU.AU,0,0
SENSEMGR01.AD.ADELAIDE.EDU.AU,0,0
SENSEFILT02.AD.ADELAIDE.EDU.AU,0,0
DVM6642853C.AD.ADELAIDE.EDU.AU,0,0
DR8C4KM3WIN7.AD.ADELAIDE.EDU.AU,0,0
PRNTESTCM.AD.ADELAIDE.EDU.AU,0,0
ITSIMACSERVER.AD.ADELAIDE.EDU.AU,0,0
PRNTESTN1.AD.ADELAIDE.EDU.AU,0,0
SENSEFILT01.AD.ADELAIDE.EDU.AU,0,0
MAX.AD.ADELAIDE.EDU.AU,0,0
BUNE.AD.ADELAIDE.EDU.AU,0,0
PRNTESTN2.AD.ADELAIDE.EDU.AU,0,0
P2K8MMBC01.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV06.AD.ADELAIDE.EDU.AU,0,0
DUFFMAN.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV01.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV02.AD.ADELAIDE.EDU.AU,0,0
IPASSROAM01.AD.ADELAIDE.EDU.AU,0,0
DL3H8030.AD.ADELAIDE.EDU.AU,0,0
PRNTEST.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV04.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV03.AD.ADELAIDE.EDU.AU,0,0
PRINT01.AD.ADELAIDE.EDU.AU,0,0
U2K3WEB019.AD.ADELAIDE.EDU.AU,0,0
MAILWIT01.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV05.AD.ADELAIDE.EDU.AU,0,0
NETAPPAV07.AD.ADELAIDE.EDU.AU,0,0
IMAGER.AD.ADELAIDE.EDU.AU,0,0
CAPARO.AD.ADELAIDE.EDU.AU,0,0
D91600944.AD.ADELAIDE.EDU.AU,0,0
LLRMGPFY.AD.ADELAIDE.EDU.AU,0,0
D03801978.AD.ADELAIDE.EDU.AU,0,0
DR8YBFDB.AD.ADELAIDE.EDU.AU,0,0
BAJA5B.AD.ADELAIDE.EDU.AU,0,0
VSOE-MSALKELD.AD.ADELAIDE.EDU.AU,0,0
VSOE-DMONRO.AD.ADELAIDE.EDU.AU,0,0
VSOE-JTAN.AD.ADELAIDE.EDU.AU,0,0
D00800658.AD.ADELAIDE.EDU.AU,0,0
D95101609.AD.ADELAIDE.EDU.AU,0,0
D03801285.AD.ADELAIDE.EDU.AU,0,0
D04401983.AD.ADELAIDE.EDU.AU,0,0
D50E549514182.AD.ADELAIDE.EDU.AU,0,0
DL3A5216.AD.ADELAIDE.EDU.AU,0,0
D04202015.AD.ADELAIDE.EDU.AU,0,0
RWSTATION.AD.ADELAIDE.EDU.AU,0,0
MOLBIO189.AD.ADELAIDE.EDU.AU,0,0
FLEXPOCSRV03.AD.ADELAIDE.EDU.AU,0,0
FLEXPOCSRV06.AD.ADELAIDE.EDU.AU,0,0
NICKC_MAC.AD.ADELAIDE.EDU.AU,0,0
FLEXPOCSRV04.AD.ADELAIDE.EDU.AU,0,0
UNIPRINTLAW.AD.ADELAIDE.EDU.AU,0,0
MACINTOSH_2.AD.ADELAIDE.EDU.AU,0,0
JOHNSONCORE.AD.ADELAIDE.EDU.AU,0,0
RWSCICORE.AD.ADELAIDE.EDU.AU,0,0
D001E902EDE2A.AD.ADELAIDE.EDU.AU,0,0
NEPTA.AD.ADELAIDE.EDU.AU,0,0
UOFAITS.AD.ADELAIDE.EDU.AU,0,0
ADAPTCORE.AD.ADELAIDE.EDU.AU,0,0
LM800.AD.ADELAIDE.EDU.AU,0,0
SCIWAITECORE.AD.ADELAIDE.EDU.AU,0,0
BRADFORDCORE.AD.ADELAIDE.EDU.AU,0,0
VM-SELTS-SANDP.AD.ADELAIDE.EDU.AU,0,0
P2K3APP6450007.AD.ADELAIDE.EDU.AU,0,0
P2K3WEB6450007.AD.ADELAIDE.EDU.AU,0,0
LIJIANGPC.AD.ADELAIDE.EDU.AU,0,0
LASGENO01.AD.ADELAIDE.EDU.AU,0,0
IMAGEBUILDINGO.AD.ADELAIDE.EDU.AU,0,0
CALCULUS.AD.ADELAIDE.EDU.AU,0,0
TINTIN.AD.ADELAIDE.EDU.AU,0,0
